                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8623,                 2.4217,                 1.6426,                0.37684,                0.25781,                0.25867,                0.10399,                 2.1639,                 2.4901,                 2.1036,             0.00066365,             0.00066365,             0.00066365
                      2,                 1.9616,                 2.0507,                 1.7163,                0.25453,                0.21875,                0.16007,                0.05334,                 2.3879,                 3.1594,                 2.4076,              0.0012645,              0.0012645,              0.0012645
                      3,                 1.9526,                 2.0182,                 1.6866,                0.41512,                 0.3125,                0.25779,                0.09704,                 2.2019,                 2.3334,                 2.1977,              0.0017993,              0.0017993,              0.0017993
                      4,                 1.9072,                 1.9505,                 1.6629,                0.52664,                0.37109,                  0.399,                0.15519,                 2.0848,                  2.205,                 2.0054,               0.001703,               0.001703,               0.001703
                      5,                 1.8352,                 1.8599,                  1.611,                0.46752,                0.43557,                0.43056,                0.17957,                 2.0093,                 2.0202,                 1.9274,               0.001604,               0.001604,               0.001604
                      6,                 1.8022,                 1.8275,                 1.5844,                0.41511,                0.31641,                0.30846,                0.12864,                 2.0606,                 2.2569,                 2.0377,               0.001505,               0.001505,               0.001505
                      7,                 1.7667,                 1.7493,                 1.5592,                0.45865,                0.42969,                0.41758,                0.17901,                 2.0271,                 2.1734,                 1.9705,               0.001406,               0.001406,               0.001406
                      8,                  1.738,                 1.7281,                 1.5378,                0.51251,                  0.375,                0.39088,                0.15973,                 2.0415,                 1.9891,                 1.9652,               0.001307,               0.001307,               0.001307
                      9,                 1.7086,                 1.6692,                 1.5241,                0.43186,                0.40234,                0.39068,                0.17166,                 1.9801,                 1.9287,                 1.8953,               0.001208,               0.001208,               0.001208
                     10,                 1.6745,                 1.6262,                 1.4909,                0.54555,                0.39844,                0.43952,                0.18539,                 1.9898,                  1.934,                 1.8984,               0.001109,               0.001109,               0.001109
                     11,                 1.7124,                  1.664,                 1.5341,                 0.4507,                0.35547,                0.37317,                0.15611,                 1.9689,                 2.0261,                 1.8802,                0.00101,                0.00101,                0.00101
                     12,                 1.6958,                 1.5938,                 1.5087,                0.47313,                0.46484,                0.44758,                0.20184,                  1.965,                 1.7806,                 1.8839,               0.000911,               0.000911,               0.000911
                     13,                 1.6615,                 1.5589,                 1.4933,                0.50646,                0.39684,                0.40553,                0.18322,                 1.9459,                 1.8611,                 1.9381,               0.000812,               0.000812,               0.000812
                     14,                 1.6353,                 1.5043,                 1.4892,                0.45737,                0.47266,                0.42089,                0.19513,                 1.9473,                 1.8585,                 1.9261,               0.000713,               0.000713,               0.000713
                     15,                 1.6175,                  1.469,                 1.4707,                0.50436,                0.48892,                0.48545,                0.22834,                 1.9361,                 1.6996,                 1.9349,               0.000614,               0.000614,               0.000614
                     16,                 1.5766,                 1.4365,                 1.4507,                0.48183,                0.45703,                0.42624,                0.19962,                 1.9426,                 1.7798,                 1.9034,               0.000515,               0.000515,               0.000515
                     17,                 1.5711,                  1.393,                 1.4381,                0.51589,                0.43708,                0.44021,                0.20949,                  1.935,                 1.7201,                  1.908,               0.000416,               0.000416,               0.000416
                     18,                 1.5432,                 1.3443,                 1.4172,                 0.4695,                0.48047,                0.45782,                0.21092,                 1.9296,                 1.6935,                 1.8631,               0.000317,               0.000317,               0.000317
                     19,                 1.4924,                 1.2868,                 1.3858,                0.49538,                0.48047,                0.43864,                0.19717,                 1.9412,                 1.6826,                 1.9068,               0.000218,               0.000218,               0.000218
                     20,                 1.4797,                  1.251,                 1.3758,                0.47943,                0.48927,                0.43987,                0.20679,                 1.9237,                 1.7055,                 1.9038,               0.000119,               0.000119,               0.000119
