                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3296,                 3.5994,                 3.6398,                0.06886,                0.17969,                 0.0467,                0.01495,                 2.7603,                 4.0336,                  3.181,             0.00066365,             0.00066365,             0.00066365
                      2,                 2.6615,                  2.697,                 2.6969,                0.25935,                0.25781,                 0.1557,                 0.0507,                 2.4532,                 2.6117,                 2.7925,             0.00089131,             0.00089131,             0.00089131
                      3,                 2.4033,                 2.3542,                 2.3888,                0.29061,                0.34375,                0.24536,                 0.0912,                 2.1611,                 2.6441,                 2.4862,             0.00067897,             0.00067897,             0.00067897
